# Trait Facts, Messung an einer lebenden Figur
# Build 42.20
# Traits geprueft: 97, Wirkungen: 120, Groessen lesbar: 18 von 24

[groessen] name|zustand|basiswert|herkunft
grapple|lesbar|1.000000|IsoGameCharacter:7917
chopTreeSpeed|lesbar|0.800000|IsoGameCharacter:12388
hearDistanceMod|lesbar|1.000000|IsoGameCharacter:13934
detectionRange|lesbar|3.500000|IsoGameCharacter:13952
blurFactor|lesbar|0.000000|IsoGameCharacter:14118
awkwardHands|lesbar|0.000000|IsoGameCharacter:14876
maxWeight|lesbar|8.000000|in Vanilla-Lua benutzt
meleeDamage|lesbar|1.000000|CharacterTraits:132
enduranceLoss|lesbar|1.000000|CharacterTraits:146
weatherPenalty|lesbar|1.500000|CharacterTraits:150
climbFailChance|lesbar|4.000000|Kandidat
climbStrength|fehlt|-|Kandidat
fallDamageMod|fehlt|-|Kandidat
pathSpeed|lesbar|0.054000|Kandidat
moveSpeed|lesbar|0.060000|Kandidat
combatSpeed|lesbar|1.010153|Kandidat
runSpeedMod|lesbar|1.000000|Kandidat
readingSpeed|fehlt|-|Kandidat
wornHearingMod|lesbar|1.000000|Kandidat
wornHearingMult|lesbar|1.000000|Kandidat
sightRange|fehlt|-|Kandidat
lowLightBonus|fehlt|-|Kandidat
temperature|fehlt|-|Kandidat
hyperthermiaMod|lesbar|1.000000|Kandidat

[wirkungen] trait|groesse|basis|mitTrait|prozent|faktor|differenz
agoraphobic|label=Agoraphobic|cost=-4|mpBanned=false|excludes=adrenalinejunkie,brave,claustrophobic,desensitized
allthumbs|label=All Thumbs|cost=-2|mpBanned=false|excludes=dextrous
artisan|label=Artisan|cost=2|mpBanned=false|recipes=MakeDrinkingGlass,MakeGlassBottle,MakeGlassJar,MakeGlassPanel,MakeLanternGlass,MakeWineGlass|xpboosts2=nil,nil
asthmatic|label=Short of Breath|cost=-5|mpBanned=false
athletic|label=Athletic|cost=10|mpBanned=false|excludes=fit,obese,out of shape,overweight,smoker,unfit,very underweight|xpboosts2=nil
axeman|label=Ax-pert|cost=0|mpBanned=false
baseballplayer|label=Baseball Player|cost=4|mpBanned=false|recipes=CarveBat|xpboosts2=nil
blacksmith2|label=Blacksmith Knowledge|cost=0|mpBanned=false|excludes=blacksmith
blacksmith|label=Blacksmith Knowledge|cost=6|mpBanned=false|recipes=Advanced_Forge,Blast_Furnace,Charcoal_Burner,Construct_Charcoal_Pit,Construct_Dome_Kiln,Construct_Makeshift_Electric_Blower_Forge,Forge,ForgeLongSpearHead,ForgeMaceHead,ForgeSpearHead,Forge_Baking_Pan,Forge_Baking_Tray,Forge_Ball_Peen_Hammer_Head,Forge_Bucket,Forge_Buckle,Forge_Carpentry_Chisel,Forge_Clawhammer_Head,Forge_Cooking_Pot,Forge_Corkscrew,Forge_Crowbar,Forge_Crude_Shortsword_Blade,Forge_Crude_Sword_Blade,Forge_Cup,Forge_Door_Knob,Forge_Draw_Plate,Forge_Drill,Forge_File,Forge_Fine_Butter_Knives,Forge_Fine_Forks,Forge_Fine_Spoons,Forge_Fishing_Hooks,Forge_Fleshing_Tool,Forge_Forceps,Forge_Forks,Forge_Frying_Pan,Forge_Garden_Hoe_Head,Forge_Gardening_Trowel,Forge_Goblets,Forge_Hand_Axe_Head,Forge_Hand_Scythe_Head,Forge_Heading_Tool,Forge_Hinge,Forge_Hunting_Knife_Blade,Forge_Kettle,Forge_Kitchen_Knife_Blade,Forge_Lantern,Forge_Large_Knife_Blade,Forge_Machete_Blade,Forge_Masons_Chisel,Forge_Masons_Trowel,Forge_Meat_Cleaver_Blade,Forge_Metalworking_Chisel,Forge_Metalworking_Pliers,Forge_Metalworking_Punch,Forge_Nails,Forge_Needle,Forge_Old_Axe_Head,Forge_Pick_Axe_Head,Forge_Primitive_Forge,Forge_Railroad_Spike_Knife,Forge_Roasting_Pan,Forge_Saucepan,Forge_Saw,Forge_Scissors,Forge_Scythe_Head,Forge_Sheep_Shears,Forge_ShortSword_Blade,Forge_Sledgehammer_Head,Forge_Small_Knife,Forge_Small_Steel_Sheet,Forge_Smithing_Hammer_Head,Forge_Spade_Head,Forge_Spoons,Forge_Steel_Sheet,Forge_Straight_Razor,Forge_Sword_Blade,Forge_Tongs,Forge_Tweezers,Forge_Wood_Axe_Head,Forge_Wrench,MakeCrudeWhetstone,MakeSpikedClub,Make_Metal_Drum,Primitive_Furnace,Smelting_Furnace|excludes=blacksmith2|xpboosts2=nil,nil
brave|label=Brave|cost=4|mpBanned=false|excludes=agoraphobic,claustrophobic,cowardly,desensitized
brawler|label=Brawler|cost=6|mpBanned=false|recipes=BarbedWireWeapon,BoltBat,CanReinforceLongWeapon,CanReinforceShortWeapon,CanReinforceWeapon,SheetMetalWeapon|xpboosts2=nil,nil
burglar|label=Burglar|cost=0|mpBanned=false
claustrophobic|label=Claustrophobic|cost=-4|mpBanned=false|excludes=adrenalinejunkie,agoraphobic,brave,desensitized
clumsy|label=Clumsy|cost=-2|mpBanned=false|excludes=graceful
conspicuous|label=Conspicuous|cost=-4|mpBanned=false|excludes=inconspicuous
cook2|label=Keen Cook|cost=0|mpBanned=false|excludes=cook
cook|label=Keen Cook|cost=3|mpBanned=false|recipes=MakeBaguetteDough,MakeBiscuits,MakeBreaddough,MakeCabbageRolls,MakeCakeBatter,MakeChocolateChipCookieDough,MakeCookieDough,MakeFriedOnionRings,MakeFriedShrimp,MakeGuacamole,MakeJar,MakeOatmealCookieDough,MakePieDough,MakePizza,MakeShortbreadCookieDough,MakeSugarCookieDough|excludes=cook2|xpboosts2=nil,nil
cowardly|label=Cowardly|cost=-2|mpBanned=false|excludes=adrenalinejunkie,brave,desensitized
crafty|label=Crafty|cost=3|mpBanned=false|excludes=fastlearner,slowlearner
deaf|label=Deaf|cost=-12|mpBanned=false|excludes=hardofhearing,keenhearing
desensitized|label=Desensitized|cost=0|mpBanned=false|excludes=adrenalinejunkie,agoraphobic,brave,claustrophobic,cowardly,hemophobic
dextrous|label=Dextrous|cost=2|mpBanned=false|excludes=allthumbs
disorganized|label=Disorganized|cost=-6|mpBanned=false|excludes=organized
eagleeyed|label=Eagle Eyed|cost=4|mpBanned=false|excludes=shortsighted
emaciated|label=Emaciated|cost=-10|mpBanned=false|excludes=obese,overweight
fasthealer|label=Fast Healer|cost=6|mpBanned=false|excludes=slowhealer
fastlearner|label=Fast Learner|cost=6|mpBanned=false|excludes=crafty,slowlearner
fastreader|label=Fast Reader|cost=2|mpBanned=false|excludes=illiterate,slowreader
feeble|label=Weak|cost=-6|mpBanned=false|excludes=stout,strong,weak|xpboosts2=nil
firstaid|label=First Aider|cost=2|mpBanned=false|xpboosts2=nil
fishing|label=Angler|cost=4|mpBanned=false|recipes=FixFishingRod,MakeChum,MakeFishingRod|xpboosts2=nil
fit|label=Fit|cost=6|mpBanned=false|excludes=athletic,obese,out of shape,overweight,unfit|xpboosts2=nil
formerscout|label=Former Scout|cost=6|mpBanned=false|recipes=FixFishingRod,MakeChum,MakeFishingRod|xpboosts2=nil,nil,nil
gardener|label=Gardener|cost=2|mpBanned=false|recipes=MakeAphidsCure,MakeFliesCureFromChewingTobacco,MakeFliesCureFromCigarettes,MakeFliesCureFromLooseTobacco,MakeJarofBellPeppers,MakeJarofBroccoli,MakeJarofCabbage,MakeJarofCarrots,MakeJarofEggplant,MakeJarofLeeks,MakeJarofPotatoes,MakeJarofRedRadishes,MakeJarofTomatoes,MakeMildewCure,MakeScarecrow,base:basil growing season,base:bell pepper growing season,base:black sage growing season,base:broadleaf plantain growing season,base:broccoli growing season,base:cabbage growing season,base:carrot growing season,base:cauliflower growing season,base:chamomile growing season,base:chives growing season,base:cilantro growing season,base:comfrey growing season,base:common mallow growing season,base:corn growing season,base:cucumber growing season,base:garlic growing season,base:green pea growing season,base:habanero growing season,base:hops growing season,base:jalapeno growing season,base:kale growing season,base:lavender growing season,base:leek growing season,base:lemongrass growing season,base:lettuce growing season,base:marigold growing season,base:mint growing season,base:onion growing season,base:oregano growing season,base:parsley growing season,base:poppy growing season,base:potato growing season,base:pumpkin growing season,base:radish growing season,base:rose growing season,base:rosemary growing season,base:sage growing season,base:soybean growing season,base:spinach growing season,base:strawberry growing season,base:sugar beet growing season,base:sunflower growing season,base:sweet potato growing season,base:thyme growing season,base:tomato growing season,base:turnip growing season,base:watermelon growing season,base:wild garlic growing season,base:zucchini growing season|xpboosts2=nil
graceful|label=Graceful|cost=4|mpBanned=false|excludes=clumsy
gymnast|label=Gymnast|cost=5|mpBanned=false|xpboosts2=nil,nil
handy|label=Handy|cost=8|mpBanned=false|recipes=BarbedWireWeapon,BoltBat,CanReinforceLongWeapon,CanReinforceShortWeapon,CanReinforceWeapon,MakeBrakeWeapon,MakeBucketMaul,MakeGardenForkHeadWeapon,MakeKettleMaul,MakeRailspikeCudgel,MakeRailspikeIronPipe,MakeRailspikeLongHandle,MakeRailspikeWeapon,MakeRakeHeadWeapon,MakeSawPlank,MakeSawbladeCudgel,MakeSawbladeLongHandle,MakeSawbladePlank,MakeSawbladeTableLeg,MakeSawbladeWeapon,MakeScrewdriver,MakeSpadeHeadCudgel,RailspikeBaseballBat,SheetMetalWeapon|xpboosts2=nil,nil,nil,nil
hardofhearing|label=Hard of Hearing|cost=-4|mpBanned=false|excludes=deaf,keenhearing
heartyappetite|label=Hearty Appetite|cost=-4|mpBanned=false|excludes=lighteater,very underweight
hemophobic|label=Fear of Blood|cost=-5|mpBanned=false|excludes=desensitized
herbalistprof|label=Herbalist|cost=0|mpBanned=false|recipes=Herbalist,MakeComfreyPoultice,MakePlantainPoultice,MakeWildGarlicPoultice,base:black sage growing season,base:broadleaf plantain growing season,base:comfrey growing season,base:common mallow growing season,base:wild garlic growing season|excludes=herbalist|xpboosts2=nil
herbalist|label=Herbalist|cost=4|mpBanned=false|recipes=Herbalist,MakeComfreyPoultice,MakePlantainPoultice,MakeWildGarlicPoultice,base:black sage growing season,base:broadleaf plantain growing season,base:comfrey growing season,base:common mallow growing season,base:wild garlic growing season|excludes=herbalist_prof|xpboosts2=nil
highthirst|label=High Thirst|cost=-2|mpBanned=false|excludes=lowthirst
hiker|label=Hiker|cost=5|mpBanned=false|recipes=MakeSnareTrap,MakeStickTrap,MakeWoodenBoxTrap|xpboosts2=nil,nil
hunter|label=Hunter|cost=8|mpBanned=false|recipes=MakeCageTrap,MakeSnareTrap,MakeStagHeadTrophy,MakeStickTrap,MakeTrapBox,MakeWoodenBoxTrap|xpboosts2=nil,nil,nil,nil,nil
illiterate|label=Illiterate|cost=-10|mpBanned=false|excludes=fastreader,slowreader
inconspicuous|label=Inconspicuous|cost=4|mpBanned=false|excludes=conspicuous
insomniac|label=Restless Sleeper|cost=-6|mpBanned=false
inventiveprof|label=Inventive|cost=0|mpBanned=false|excludes=inventive
inventive|label=Inventive|cost=2|mpBanned=false|excludes=inventive_prof
irongut|label=Iron Gut|cost=2|mpBanned=false|excludes=weakstomach
jogger|label=Runner|cost=4|mpBanned=false|xpboosts2=nil
keenhearing|label=Keen Hearing|cost=6|mpBanned=false|excludes=deaf,hardofhearing
lighteater|label=Light Eater|cost=2|mpBanned=false|excludes=heartyappetite,obese
lowthirst|label=Low Thirst|cost=2|mpBanned=false|excludes=highthirst
marksman|label=Marksman|cost=0|mpBanned=false
mason|label=Mason|cost=2|mpBanned=false|recipes=Advanced_Forge,Blast_Furnace,Construct_Dome_Kiln,Forge,Forge_Primitive_Forge,Primitive_Furnace,Smelting_Furnace|xpboosts2=nil
mechanics2|label=Vehicle Knowledge|cost=0|mpBanned=false|excludes=mechanics
mechanics|label=Vehicle Knowledge|cost=3|mpBanned=false|recipes=Basic Mechanics,Intermediate Mechanics|excludes=mechanics2|xpboosts2=nil
needslesssleep|label=Wakeful|cost=3|mpBanned=false|excludes=needsmoresleep
needsmoresleep|label=Sleepyhead|cost=-4|mpBanned=false|excludes=needslesssleep
nightowl|label=Night Owl|cost=0|mpBanned=false
nightvision|label=Cat's Eyes|cost=3|mpBanned=false
nutritionist2|label=Nutritionist|cost=0|mpBanned=false|excludes=nutritionist
nutritionist|label=Nutritionist|cost=2|mpBanned=false|excludes=nutritionist2
obese|label=Very High Weight|cost=0|mpBanned=false|excludes=athletic,emaciated,fit,lighteater,overweight,underweight,very underweight|xpboosts2=nil
organized|label=Organized|cost=4|mpBanned=false|excludes=disorganized
outdoorsman|label=Outdoorsy|cost=2|mpBanned=false
outofshape|label=Out of Shape|cost=-6|mpBanned=false|excludes=athletic,fit,unfit|xpboosts2=nil
overweight|label=High Weight|cost=0|mpBanned=false|excludes=athletic,emaciated,fit,underweight,very underweight|xpboosts2=nil
pacifist|label=Reluctant Fighter|cost=-5|mpBanned=false
pronetoillness|label=Prone to Illness|cost=-4|mpBanned=false|excludes=resilient
resilient|label=Resilient|cost=4|mpBanned=false|excludes=pronetoillness
shortsighted|label=Short Sighted|cost=-2|mpBanned=false|excludes=eagleeyed
slowhealer|label=Slow Healer|cost=-3|mpBanned=false|excludes=fasthealer
slowlearner|label=Slow Learner|cost=-6|mpBanned=false|excludes=crafty,fastlearner
slowreader|label=Slow Reader|cost=-2|mpBanned=false|excludes=fastreader,illiterate
smoker|label=Smoker|cost=-3|mpBanned=false|excludes=athletic
speeddemon|label=Speed Demon|cost=1|mpBanned=false|excludes=sundaydriver
stout|label=Stout|cost=6|mpBanned=false|excludes=feeble,strong,weak|xpboosts2=nil
strong|label=Strong|cost=10|mpBanned=false|excludes=feeble,stout,weak|xpboosts2=nil
sundaydriver|label=Sunday Driver|cost=-1|mpBanned=false|excludes=speeddemon
tailor|label=Sewer|cost=4|mpBanned=false|recipes=AssembleAdvancedFramepack,AssembleAdvancedLargeFramepack,AssembleLargeFramepack,AssembleSmallFramepack,KnitBalaclavaFace,KnitBalaclavaFull,KnitBeany,KnitDoily,KnitLegwarmers,KnitScarf,KnitSocks,KnitSweaterVest,KnitWoolyHat,MakeGarbageBagDress,MakeGarbageBagTankTop,MakeTarpChestRig,MakeTarpDress,MakeTarpTankTop,MakeWesternBoots,SewBandolier,SewBelt,SewClothSatchel,SewCrudeLeatherBackpack,SewDressKnees,SewDressLong,SewElbowPads,SewFurredHideCoat,SewFurredHideJacket,SewHideBoots,SewHideCoat,SewHideFannyBag,SewHideHat,SewHideHoodie,SewHideJacket,SewHidePants,SewHideRobe,SewHideSleepingBag,SewHideWallet,SewHolster,SewHolsterDouble,SewKneePads,SewLeatherCodpiece,SewLeatherGaiter,SewLeatherGloves,SewLeatherGorget,SewLeatherPants,SewLeatherToolRoll,SewLeatherVambrace,SewLeatherWaterBag,SewLongjohns,SewLongjohnsBottom,SewSandals,SewShellsBandolier,SewShirt,SewShirtSleeveless,SewSkirtKnees,SewSkirtLong,SewTrousers,WeaveTwineShoes|xpboosts2=nil
targetshooter|label=Target Shooter|cost=5|mpBanned=false|xpboosts2=nil
thickskinned|label=Thick-skinned|cost=8|mpBanned=false|excludes=thinskinned
thinskinned|label=Thin-skinned|cost=-8|mpBanned=false|excludes=thickskinned
tinkerer|label=Tinkerer|cost=4|mpBanned=false|xpboosts2=nil
underweight|label=Low Weight|cost=0|mpBanned=false|excludes=obese,overweight,very underweight|xpboosts2=nil
unfit|label=Unfit|cost=-10|mpBanned=false|excludes=athletic,fit,out of shape|xpboosts2=nil
veryunderweight|label=Very Low Weight|cost=0|mpBanned=false|excludes=athletic,heartyappetite,obese,overweight,underweight|xpboosts2=nil
weakstomach|label=Weak Stomach|cost=-2|mpBanned=false|excludes=irongut
weak|label=Puny|cost=-10|mpBanned=false|excludes=feeble,stout,strong|xpboosts2=nil
weightgain|label=Slow Metabolism|cost=-2|mpBanned=false|grants=overweight|excludes=weightloss
weightloss|label=Fast Metabolism|cost=-2|mpBanned=false|grants=underweight|excludes=weightgain
whittler|label=Whittler|cost=2|mpBanned=false|recipes=CarveBat,CarveBucket,CarveFleshingTool,CarveGoblets,CarveKnittingNeedles,CarveShortBat,CarveWhistle,CarveWoodenFork,CarveWoodenSpade,MakeBoneAwl,MakeBoneFishingHook,MakeBoneFork,MakeBoneHatchetHead,MakeBoneSewingNeedle,MakeLargeBoneBead,MakeLargeBoneBeads,SharpenBone,SharpenJawbone,SharpenLongBone|xpboosts2=nil
wildernessknowledge|label=Bushcrafter|cost=8|mpBanned=false|recipes=BindSpear,CarveBucket,CarveFleshingTool,FireHardenSpear,Herbalist,MakeBoneAwl,MakeBoneClub,MakeBoneFishingHook,MakeBoneHatchetHead,MakeBoneSewingNeedle,MakeComfreyPoultice,MakeCrudeWhetstone,MakeFishingRod,MakeJawboneAxe,MakeLargeStoneAxeHead,MakeLongStoneBlade,MakePlantainPoultice,MakeSnareTrap,MakeStoneAwl,MakeStoneBlade,MakeStoneBladeSaw,MakeStoneBladeScythe,MakeStoneChisel,MakeStoneDrill,MakeStoneMaulHead,MakeWildGarlicPoultice,RemakeLongStoneBlade,SharpenLongBone,WireSpear|xpboosts2=nil,nil,nil,nil

[foraging] trait|felder...
# forageSkills nicht geladen

[ohne messbare wirkung] 0 Traits
