# XP-Leiter, Messung an einer lebenden Figur
# Mess-Mod 6.51.1
# Build 42.20
# je Skill: Skillstufe 0-9, Boost 0-5, je 20 XP ueber AddXP
# Sandbox-Faktor (MultiplierConfig): Global 1
# Proteine -205.4, Faktor fuer Strength 1.00 (AddXP 15500-15508)
# waehrend der Leiter abgenommen: keine
# soll wie TF_XpColumns (0.25 / 1.0 / 1.33 / 1.66, Sprinting 1.0 / 1.25, Strength und Fitness 1.0) x Sandbox (x Proteinfaktor bei Strength); Toleranz 0.1 %

[ergebnis]
ergebnis|werte=48|stimmen=48|weichen_ab=0|nicht_messbar=0

[vergleich] skill|boost|soll|gemessen|urteil
vergleich|Sprinting|boost=1|soll=1.2500|gemessen=1.2500 bis 1.2500|stimmt
vergleich|Sprinting|boost=2|soll=1.3300|gemessen=1.3300 bis 1.3300|stimmt
vergleich|Sprinting|boost=3|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Sprinting|boost=4|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Sprinting|boost=5|soll=1.6600|gemessen=1.6600 bis 1.6600|stimmt
vergleich|Strength|boost=0|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Strength|boost=1|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Strength|boost=2|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Strength|boost=3|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Strength|boost=4|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Strength|boost=5|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Fitness|boost=0|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Fitness|boost=1|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Fitness|boost=2|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Fitness|boost=3|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Fitness|boost=4|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt
vergleich|Fitness|boost=5|soll=1.0000|gemessen=1.0000 bis 1.0000|stimmt

[zusammenfassung] skill|boost|faktor auf stufe 0|ueber die stufen
zusammenfassung|Woodwork|boost=0|faktor=0.250|stufen 0-9 gleich
zusammenfassung|Woodwork|boost=1|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Woodwork|boost=2|faktor=1.330|stufen 0-9 gleich
zusammenfassung|Woodwork|boost=3|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Woodwork|boost=4|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Woodwork|boost=5|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Blacksmith|boost=0|faktor=0.250|stufen 0-9 gleich
zusammenfassung|Blacksmith|boost=1|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Blacksmith|boost=2|faktor=1.330|stufen 0-9 gleich
zusammenfassung|Blacksmith|boost=3|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Blacksmith|boost=4|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Blacksmith|boost=5|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Maintenance|boost=0|faktor=0.250|stufen 0-9 gleich
zusammenfassung|Maintenance|boost=1|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Maintenance|boost=2|faktor=1.330|stufen 0-9 gleich
zusammenfassung|Maintenance|boost=3|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Maintenance|boost=4|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Maintenance|boost=5|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Cooking|boost=0|faktor=0.250|stufen 0-9 gleich
zusammenfassung|Cooking|boost=1|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Cooking|boost=2|faktor=1.330|stufen 0-9 gleich
zusammenfassung|Cooking|boost=3|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Cooking|boost=4|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Cooking|boost=5|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Aiming|boost=0|faktor=0.250|stufen 0-9 gleich
zusammenfassung|Aiming|boost=1|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Aiming|boost=2|faktor=1.330|stufen 0-9 gleich
zusammenfassung|Aiming|boost=3|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Aiming|boost=4|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Aiming|boost=5|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Sprinting|boost=0|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Sprinting|boost=1|faktor=1.250|stufen 0-9 gleich
zusammenfassung|Sprinting|boost=2|faktor=1.330|stufen 0-9 gleich
zusammenfassung|Sprinting|boost=3|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Sprinting|boost=4|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Sprinting|boost=5|faktor=1.660|stufen 0-9 gleich
zusammenfassung|Strength|boost=0|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Strength|boost=1|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Strength|boost=2|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Strength|boost=3|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Strength|boost=4|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Strength|boost=5|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Fitness|boost=0|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Fitness|boost=1|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Fitness|boost=2|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Fitness|boost=3|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Fitness|boost=4|faktor=1.000|stufen 0-9 gleich
zusammenfassung|Fitness|boost=5|faktor=1.000|stufen 0-9 gleich

[leiter] skill|stufe|boost|gegeben|erhalten (faktor)
xpleiter|Woodwork|stufe=0|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Woodwork|stufe=0|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Woodwork|stufe=0|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Woodwork|stufe=0|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=0|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=0|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=1|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Woodwork|stufe=1|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Woodwork|stufe=1|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Woodwork|stufe=1|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=1|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=1|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=2|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Woodwork|stufe=2|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Woodwork|stufe=2|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Woodwork|stufe=2|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=2|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=2|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=3|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Woodwork|stufe=3|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Woodwork|stufe=3|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Woodwork|stufe=3|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=3|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=3|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=4|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Woodwork|stufe=4|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Woodwork|stufe=4|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Woodwork|stufe=4|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=4|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=4|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=5|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Woodwork|stufe=5|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Woodwork|stufe=5|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Woodwork|stufe=5|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=5|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=5|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Woodwork|stufe=6|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Woodwork|stufe=6|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Woodwork|stufe=6|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Woodwork|stufe=6|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Woodwork|stufe=6|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Woodwork|stufe=6|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Woodwork|stufe=7|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Woodwork|stufe=7|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Woodwork|stufe=7|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Woodwork|stufe=7|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Woodwork|stufe=7|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Woodwork|stufe=7|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Woodwork|stufe=8|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Woodwork|stufe=8|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Woodwork|stufe=8|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Woodwork|stufe=8|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Woodwork|stufe=8|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Woodwork|stufe=8|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Woodwork|stufe=9|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Woodwork|stufe=9|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Woodwork|stufe=9|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Woodwork|stufe=9|boost=3|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Woodwork|stufe=9|boost=4|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Woodwork|stufe=9|boost=5|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Blacksmith|stufe=0|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Blacksmith|stufe=0|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Blacksmith|stufe=0|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Blacksmith|stufe=0|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=0|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=0|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=1|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Blacksmith|stufe=1|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Blacksmith|stufe=1|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Blacksmith|stufe=1|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=1|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=1|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=2|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Blacksmith|stufe=2|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Blacksmith|stufe=2|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Blacksmith|stufe=2|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=2|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=2|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=3|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Blacksmith|stufe=3|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Blacksmith|stufe=3|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Blacksmith|stufe=3|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=3|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=3|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=4|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Blacksmith|stufe=4|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Blacksmith|stufe=4|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Blacksmith|stufe=4|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=4|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=4|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=5|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Blacksmith|stufe=5|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Blacksmith|stufe=5|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Blacksmith|stufe=5|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=5|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=5|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Blacksmith|stufe=6|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Blacksmith|stufe=6|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Blacksmith|stufe=6|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Blacksmith|stufe=6|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Blacksmith|stufe=6|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Blacksmith|stufe=6|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Blacksmith|stufe=7|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Blacksmith|stufe=7|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Blacksmith|stufe=7|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Blacksmith|stufe=7|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Blacksmith|stufe=7|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Blacksmith|stufe=7|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Blacksmith|stufe=8|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Blacksmith|stufe=8|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Blacksmith|stufe=8|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Blacksmith|stufe=8|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Blacksmith|stufe=8|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Blacksmith|stufe=8|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Blacksmith|stufe=9|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Blacksmith|stufe=9|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Blacksmith|stufe=9|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Blacksmith|stufe=9|boost=3|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Blacksmith|stufe=9|boost=4|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Blacksmith|stufe=9|boost=5|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Maintenance|stufe=0|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Maintenance|stufe=0|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Maintenance|stufe=0|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Maintenance|stufe=0|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=0|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=0|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=1|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Maintenance|stufe=1|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Maintenance|stufe=1|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Maintenance|stufe=1|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=1|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=1|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=2|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Maintenance|stufe=2|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Maintenance|stufe=2|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Maintenance|stufe=2|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=2|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=2|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=3|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Maintenance|stufe=3|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Maintenance|stufe=3|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Maintenance|stufe=3|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=3|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=3|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=4|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Maintenance|stufe=4|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Maintenance|stufe=4|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Maintenance|stufe=4|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=4|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=4|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=5|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Maintenance|stufe=5|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Maintenance|stufe=5|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Maintenance|stufe=5|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=5|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=5|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Maintenance|stufe=6|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Maintenance|stufe=6|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Maintenance|stufe=6|boost=2|20 gegeben|erhalten=26.6001 (x1.330)
xpleiter|Maintenance|stufe=6|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Maintenance|stufe=6|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Maintenance|stufe=6|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Maintenance|stufe=7|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Maintenance|stufe=7|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Maintenance|stufe=7|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Maintenance|stufe=7|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Maintenance|stufe=7|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Maintenance|stufe=7|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Maintenance|stufe=8|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Maintenance|stufe=8|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Maintenance|stufe=8|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Maintenance|stufe=8|boost=3|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Maintenance|stufe=8|boost=4|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Maintenance|stufe=8|boost=5|20 gegeben|erhalten=33.2002 (x1.660)
xpleiter|Maintenance|stufe=9|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Maintenance|stufe=9|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Maintenance|stufe=9|boost=2|20 gegeben|erhalten=26.5996 (x1.330)
xpleiter|Maintenance|stufe=9|boost=3|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Maintenance|stufe=9|boost=4|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Maintenance|stufe=9|boost=5|20 gegeben|erhalten=33.1992 (x1.660)
xpleiter|Cooking|stufe=0|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Cooking|stufe=0|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Cooking|stufe=0|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Cooking|stufe=0|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=0|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=0|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=1|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Cooking|stufe=1|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
xpleiter|Cooking|stufe=1|boost=2|20 gegeben|erhalten=26.6000 (x1.330)
xpleiter|Cooking|stufe=1|boost=3|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=1|boost=4|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=1|boost=5|20 gegeben|erhalten=33.2000 (x1.660)
xpleiter|Cooking|stufe=2|boost=0|20 gegeben|erhalten=5.0000 (x0.250)
xpleiter|Cooking|stufe=2|boost=1|20 gegeben|erhalten=20.0000 (x1.000)
