# Klettern, Messung an einer lebenden Figur
# Mess-Mod 6.40.1
# Build 42.20
# je Fall Fitness, Strength, Nimble einzeln 0-10, die anderen auf 0
# sicherheit = getClimbingFailChanceFloat(), seil = getClimbRopeSpeed(false/true), tragen = getMaxWeight()
# nicht lesbar: keine

[abweichungen] fall|achse=stufe|groesse|ohne Trait->mit Trait
abweichung|overweight|fitness=6|sicherheit|3.0000->0.0000
abweichung|overweight|fitness=6|hoch|0.0900->0.0800
abweichung|overweight|fitness=7|sicherheit|3.0000->0.0000
abweichung|overweight|fitness=7|hoch|0.1050->0.0900
abweichung|overweight|fitness=8|sicherheit|4.0000->1.0000
abweichung|overweight|fitness=8|hoch|0.1150->0.1050
abweichung|overweight|fitness=9|sicherheit|4.0000->1.0000
abweichung|overweight|fitness=9|hoch|0.1250->0.1150
abweichung|overweight|fitness=10|sicherheit|4.0000->2.0000
abweichung|overweight|fitness=10|hoch|0.1400->0.1250
abweichung|overweight|strength=1|sicherheit|1.0000->0.0000
abweichung|overweight|strength=1|hoch|0.0250->0.0200
abweichung|overweight|strength=2|sicherheit|2.0000->0.0000
abweichung|overweight|strength=2|hoch|0.0300->0.0250
abweichung|overweight|strength=3|sicherheit|2.0000->0.0000
abweichung|overweight|strength=3|hoch|0.0350->0.0300
abweichung|overweight|strength=4|sicherheit|2.0000->0.0000
abweichung|overweight|strength=4|hoch|0.0800->0.0350
abweichung|overweight|strength=5|sicherheit|3.0000->0.0000
abweichung|overweight|strength=6|sicherheit|3.0000->0.0000
abweichung|overweight|strength=6|hoch|0.0900->0.0800
abweichung|overweight|strength=7|sicherheit|3.0000->0.0000
abweichung|overweight|strength=7|hoch|0.1050->0.0900
abweichung|overweight|strength=8|sicherheit|4.0000->1.0000
abweichung|overweight|strength=8|hoch|0.1150->0.1050
abweichung|overweight|strength=9|sicherheit|4.0000->1.0000
abweichung|overweight|strength=9|hoch|0.1250->0.1150
abweichung|overweight|strength=10|sicherheit|4.0000->2.0000
abweichung|overweight|strength=10|hoch|0.1400->0.1250
abweichung|overweight|nimble=1|sicherheit|1.0000->0.0000
abweichung|overweight|nimble=2|sicherheit|2.0000->0.0000
abweichung|overweight|nimble=3|sicherheit|2.0000->0.0000
abweichung|overweight|nimble=4|sicherheit|2.0000->0.0000
abweichung|overweight|nimble=5|sicherheit|3.0000->0.0000
abweichung|overweight|nimble=6|sicherheit|3.0000->0.0000
abweichung|overweight|nimble=7|sicherheit|3.0000->0.0000
abweichung|overweight|nimble=8|sicherheit|4.0000->1.0000
abweichung|overweight|nimble=9|sicherheit|4.0000->1.0000
abweichung|overweight|nimble=10|sicherheit|4.0000->2.0000
abweichung|obese|fitness=1|sicherheit|1.0000->0.0000
abweichung|obese|fitness=1|hoch|0.0250->0.0200
abweichung|obese|fitness=2|sicherheit|2.0000->0.0000
abweichung|obese|fitness=2|hoch|0.0300->0.0200
abweichung|obese|fitness=3|sicherheit|2.0000->0.0000
abweichung|obese|fitness=3|hoch|0.0350->0.0250
abweichung|obese|fitness=4|sicherheit|2.0000->0.0000
abweichung|obese|fitness=4|hoch|0.0800->0.0300
abweichung|obese|fitness=5|sicherheit|3.0000->0.0000
abweichung|obese|fitness=5|hoch|0.0800->0.0350
abweichung|obese|fitness=6|sicherheit|3.0000->0.0000
abweichung|obese|fitness=6|hoch|0.0900->0.0800
abweichung|obese|fitness=7|sicherheit|3.0000->0.0000
abweichung|obese|fitness=7|hoch|0.1050->0.0800
abweichung|obese|fitness=8|sicherheit|4.0000->0.0000
abweichung|obese|fitness=8|hoch|0.1150->0.0900
abweichung|obese|fitness=9|sicherheit|4.0000->0.0000
abweichung|obese|fitness=9|hoch|0.1250->0.1050
abweichung|obese|fitness=10|sicherheit|4.0000->0.0000
abweichung|obese|fitness=10|hoch|0.1400->0.1150
abweichung|obese|strength=1|sicherheit|1.0000->0.0000
abweichung|obese|strength=1|hoch|0.0250->0.0200
abweichung|obese|strength=2|sicherheit|2.0000->0.0000
abweichung|obese|strength=2|hoch|0.0300->0.0200
abweichung|obese|strength=3|sicherheit|2.0000->0.0000
abweichung|obese|strength=3|hoch|0.0350->0.0250
abweichung|obese|strength=4|sicherheit|2.0000->0.0000
abweichung|obese|strength=4|hoch|0.0800->0.0300
abweichung|obese|strength=5|sicherheit|3.0000->0.0000
abweichung|obese|strength=5|hoch|0.0800->0.0350
abweichung|obese|strength=6|sicherheit|3.0000->0.0000
abweichung|obese|strength=6|hoch|0.0900->0.0800
abweichung|obese|strength=7|sicherheit|3.0000->0.0000
abweichung|obese|strength=7|hoch|0.1050->0.0800
abweichung|obese|strength=8|sicherheit|4.0000->0.0000
abweichung|obese|strength=8|hoch|0.1150->0.0900
abweichung|obese|strength=9|sicherheit|4.0000->0.0000
abweichung|obese|strength=9|hoch|0.1250->0.1050
abweichung|obese|strength=10|sicherheit|4.0000->0.0000
abweichung|obese|strength=10|hoch|0.1400->0.1150
abweichung|obese|nimble=1|sicherheit|1.0000->0.0000
abweichung|obese|nimble=2|sicherheit|2.0000->0.0000
abweichung|obese|nimble=3|sicherheit|2.0000->0.0000
abweichung|obese|nimble=4|sicherheit|2.0000->0.0000
abweichung|obese|nimble=5|sicherheit|3.0000->0.0000
abweichung|obese|nimble=6|sicherheit|3.0000->0.0000
abweichung|obese|nimble=7|sicherheit|3.0000->0.0000
abweichung|obese|nimble=8|sicherheit|4.0000->0.0000
abweichung|obese|nimble=9|sicherheit|4.0000->0.0000
abweichung|obese|nimble=10|sicherheit|4.0000->0.0000
abweichung|dextrous|fitness=0|sicherheit|0.0000->2.0000
abweichung|dextrous|fitness=0|hoch|0.0200->0.0250
abweichung|dextrous|fitness=0|runter|0.0200->0.0250
abweichung|dextrous|fitness=1|sicherheit|1.0000->2.0000
abweichung|dextrous|fitness=1|hoch|0.0250->0.0300
abweichung|dextrous|fitness=1|runter|0.0250->0.0300
abweichung|dextrous|fitness=2|hoch|0.0300->0.0350
abweichung|dextrous|fitness=2|runter|0.0300->0.0350
abweichung|dextrous|fitness=3|sicherheit|2.0000->3.0000
abweichung|dextrous|fitness=3|hoch|0.0350->0.0800
abweichung|dextrous|fitness=3|runter|0.0350->0.0800
abweichung|dextrous|fitness=4|sicherheit|2.0000->3.0000
abweichung|dextrous|fitness=5|hoch|0.0800->0.0900
abweichung|dextrous|fitness=5|runter|0.0800->0.0900
abweichung|dextrous|fitness=6|sicherheit|3.0000->4.0000
abweichung|dextrous|fitness=6|hoch|0.0900->0.1050
abweichung|dextrous|fitness=6|runter|0.0900->0.1050
abweichung|dextrous|fitness=7|sicherheit|3.0000->4.0000
abweichung|dextrous|fitness=7|hoch|0.1050->0.1150
abweichung|dextrous|fitness=7|runter|0.1050->0.1150
abweichung|dextrous|fitness=8|hoch|0.1150->0.1250
abweichung|dextrous|fitness=8|runter|0.1150->0.1250
abweichung|dextrous|fitness=9|hoch|0.1250->0.1400
abweichung|dextrous|fitness=9|runter|0.1250->0.1400
abweichung|dextrous|strength=0|sicherheit|0.0000->2.0000
abweichung|dextrous|strength=0|hoch|0.0200->0.0250
abweichung|dextrous|strength=0|runter|0.0200->0.0250
abweichung|dextrous|strength=1|sicherheit|1.0000->2.0000
abweichung|dextrous|strength=1|hoch|0.0250->0.0300
abweichung|dextrous|strength=1|runter|0.0250->0.0300
abweichung|dextrous|strength=2|hoch|0.0300->0.0350
abweichung|dextrous|strength=2|runter|0.0300->0.0350
abweichung|dextrous|strength=3|sicherheit|2.0000->3.0000
abweichung|dextrous|strength=3|hoch|0.0350->0.0800
abweichung|dextrous|strength=3|runter|0.0350->0.0800
abweichung|dextrous|strength=4|sicherheit|2.0000->3.0000
abweichung|dextrous|strength=5|hoch|0.0800->0.0900
abweichung|dextrous|strength=5|runter|0.0800->0.0900
abweichung|dextrous|strength=6|sicherheit|3.0000->4.0000
abweichung|dextrous|strength=6|hoch|0.0900->0.1050
abweichung|dextrous|strength=6|runter|0.0900->0.1050
abweichung|dextrous|strength=7|sicherheit|3.0000->4.0000
abweichung|dextrous|strength=7|hoch|0.1050->0.1150
abweichung|dextrous|strength=7|runter|0.1050->0.1150
abweichung|dextrous|strength=8|hoch|0.1150->0.1250
abweichung|dextrous|strength=8|runter|0.1150->0.1250
abweichung|dextrous|strength=9|hoch|0.1250->0.1400
abweichung|dextrous|strength=9|runter|0.1250->0.1400
abweichung|dextrous|nimble=0|sicherheit|0.0000->2.0000
abweichung|dextrous|nimble=0|hoch|0.0200->0.0250
abweichung|dextrous|nimble=0|runter|0.0200->0.0250
abweichung|dextrous|nimble=1|sicherheit|1.0000->2.0000
abweichung|dextrous|nimble=1|hoch|0.0200->0.0250
abweichung|dextrous|nimble=1|runter|0.0200->0.0250
abweichung|dextrous|nimble=2|hoch|0.0200->0.0250
abweichung|dextrous|nimble=2|runter|0.0200->0.0250
abweichung|dextrous|nimble=3|sicherheit|2.0000->3.0000
abweichung|dextrous|nimble=3|hoch|0.0200->0.0250
abweichung|dextrous|nimble=3|runter|0.0200->0.0250
abweichung|dextrous|nimble=4|sicherheit|2.0000->3.0000
abweichung|dextrous|nimble=4|hoch|0.0200->0.0250
abweichung|dextrous|nimble=4|runter|0.0200->0.0250
abweichung|dextrous|nimble=5|hoch|0.0200->0.0250
abweichung|dextrous|nimble=5|runter|0.0200->0.0250
abweichung|dextrous|nimble=6|sicherheit|3.0000->4.0000
abweichung|dextrous|nimble=6|hoch|0.0200->0.0250
abweichung|dextrous|nimble=6|runter|0.0200->0.0250
abweichung|dextrous|nimble=7|sicherheit|3.0000->4.0000
abweichung|dextrous|nimble=7|hoch|0.0200->0.0250
abweichung|dextrous|nimble=7|runter|0.0200->0.0250
abweichung|dextrous|nimble=8|hoch|0.0200->0.0250
abweichung|dextrous|nimble=8|runter|0.0200->0.0250
abweichung|dextrous|nimble=9|hoch|0.0200->0.0250
abweichung|dextrous|nimble=9|runter|0.0200->0.0250
abweichung|dextrous|nimble=10|hoch|0.0200->0.0250
abweichung|dextrous|nimble=10|runter|0.0200->0.0250
abweichung|allthumbs|fitness=1|sicherheit|1.0000->0.0000
abweichung|allthumbs|fitness=1|hoch|0.0250->0.0200
abweichung|allthumbs|fitness=1|runter|0.0250->0.0200
abweichung|allthumbs|fitness=2|sicherheit|2.0000->0.0000
abweichung|allthumbs|fitness=2|hoch|0.0300->0.0250
abweichung|allthumbs|fitness=2|runter|0.0300->0.0250
abweichung|allthumbs|fitness=3|sicherheit|2.0000->1.0000
abweichung|allthumbs|fitness=3|hoch|0.0350->0.0300
abweichung|allthumbs|fitness=3|runter|0.0350->0.0300
abweichung|allthumbs|fitness=4|hoch|0.0800->0.0350
abweichung|allthumbs|fitness=4|runter|0.0800->0.0350
abweichung|allthumbs|fitness=5|sicherheit|3.0000->2.0000
abweichung|allthumbs|fitness=6|sicherheit|3.0000->2.0000
abweichung|allthumbs|fitness=6|hoch|0.0900->0.0800
abweichung|allthumbs|fitness=6|runter|0.0900->0.0800
abweichung|allthumbs|fitness=7|hoch|0.1050->0.0900
abweichung|allthumbs|fitness=7|runter|0.1050->0.0900
abweichung|allthumbs|fitness=8|sicherheit|4.0000->3.0000
abweichung|allthumbs|fitness=8|hoch|0.1150->0.1050
abweichung|allthumbs|fitness=8|runter|0.1150->0.1050
abweichung|allthumbs|fitness=9|sicherheit|4.0000->3.0000
abweichung|allthumbs|fitness=9|hoch|0.1250->0.1150
abweichung|allthumbs|fitness=9|runter|0.1250->0.1150
abweichung|allthumbs|fitness=10|hoch|0.1400->0.1250
abweichung|allthumbs|fitness=10|runter|0.1400->0.1250
abweichung|allthumbs|strength=1|sicherheit|1.0000->0.0000
abweichung|allthumbs|strength=1|hoch|0.0250->0.0200
abweichung|allthumbs|strength=1|runter|0.0250->0.0200
abweichung|allthumbs|strength=2|sicherheit|2.0000->0.0000
abweichung|allthumbs|strength=2|hoch|0.0300->0.0250
abweichung|allthumbs|strength=2|runter|0.0300->0.0250
abweichung|allthumbs|strength=3|sicherheit|2.0000->1.0000
abweichung|allthumbs|strength=3|hoch|0.0350->0.0300
abweichung|allthumbs|strength=3|runter|0.0350->0.0300
abweichung|allthumbs|strength=4|hoch|0.0800->0.0350
abweichung|allthumbs|strength=4|runter|0.0800->0.0350
abweichung|allthumbs|strength=5|sicherheit|3.0000->2.0000
abweichung|allthumbs|strength=6|sicherheit|3.0000->2.0000
abweichung|allthumbs|strength=6|hoch|0.0900->0.0800
abweichung|allthumbs|strength=6|runter|0.0900->0.0800
abweichung|allthumbs|strength=7|hoch|0.1050->0.0900
abweichung|allthumbs|strength=7|runter|0.1050->0.0900
abweichung|allthumbs|strength=8|sicherheit|4.0000->3.0000
abweichung|allthumbs|strength=8|hoch|0.1150->0.1050
abweichung|allthumbs|strength=8|runter|0.1150->0.1050
abweichung|allthumbs|strength=9|sicherheit|4.0000->3.0000
abweichung|allthumbs|strength=9|hoch|0.1250->0.1150
abweichung|allthumbs|strength=9|runter|0.1250->0.1150
abweichung|allthumbs|strength=10|hoch|0.1400->0.1250
abweichung|allthumbs|strength=10|runter|0.1400->0.1250
abweichung|allthumbs|nimble=1|sicherheit|1.0000->0.0000
abweichung|allthumbs|nimble=2|sicherheit|2.0000->0.0000
abweichung|allthumbs|nimble=3|sicherheit|2.0000->1.0000
abweichung|allthumbs|nimble=5|sicherheit|3.0000->2.0000
abweichung|allthumbs|nimble=6|sicherheit|3.0000->2.0000
abweichung|allthumbs|nimble=8|sicherheit|4.0000->3.0000
abweichung|allthumbs|nimble=9|sicherheit|4.0000->3.0000
abweichung|gymnast|fitness=0|sicherheit|0.0000->2.0000
abweichung|gymnast|fitness=0|hoch|0.0200->0.0250
abweichung|gymnast|fitness=0|runter|0.0200->0.0250
abweichung|gymnast|fitness=1|sicherheit|1.0000->2.0000
abweichung|gymnast|fitness=1|hoch|0.0250->0.0300
abweichung|gymnast|fitness=1|runter|0.0250->0.0300
abweichung|gymnast|fitness=2|hoch|0.0300->0.0350
abweichung|gymnast|fitness=2|runter|0.0300->0.0350
abweichung|gymnast|fitness=3|sicherheit|2.0000->3.0000
abweichung|gymnast|fitness=3|hoch|0.0350->0.0800
abweichung|gymnast|fitness=3|runter|0.0350->0.0800
abweichung|gymnast|fitness=4|sicherheit|2.0000->3.0000
abweichung|gymnast|fitness=5|hoch|0.0800->0.0900
abweichung|gymnast|fitness=5|runter|0.0800->0.0900
abweichung|gymnast|fitness=6|sicherheit|3.0000->4.0000
abweichung|gymnast|fitness=6|hoch|0.0900->0.1050
abweichung|gymnast|fitness=6|runter|0.0900->0.1050
abweichung|gymnast|fitness=7|sicherheit|3.0000->4.0000
abweichung|gymnast|fitness=7|hoch|0.1050->0.1150
abweichung|gymnast|fitness=7|runter|0.1050->0.1150
abweichung|gymnast|fitness=8|hoch|0.1150->0.1250
abweichung|gymnast|fitness=8|runter|0.1150->0.1250
abweichung|gymnast|fitness=9|hoch|0.1250->0.1400
abweichung|gymnast|fitness=9|runter|0.1250->0.1400
abweichung|gymnast|strength=0|sicherheit|0.0000->2.0000
abweichung|gymnast|strength=0|hoch|0.0200->0.0250
abweichung|gymnast|strength=0|runter|0.0200->0.0250
abweichung|gymnast|strength=1|sicherheit|1.0000->2.0000
abweichung|gymnast|strength=1|hoch|0.0250->0.0300
abweichung|gymnast|strength=1|runter|0.0250->0.0300
abweichung|gymnast|strength=2|hoch|0.0300->0.0350
abweichung|gymnast|strength=2|runter|0.0300->0.0350
abweichung|gymnast|strength=3|sicherheit|2.0000->3.0000
abweichung|gymnast|strength=3|hoch|0.0350->0.0800
abweichung|gymnast|strength=3|runter|0.0350->0.0800
abweichung|gymnast|strength=4|sicherheit|2.0000->3.0000
abweichung|gymnast|strength=5|hoch|0.0800->0.0900
abweichung|gymnast|strength=5|runter|0.0800->0.0900
abweichung|gymnast|strength=6|sicherheit|3.0000->4.0000
abweichung|gymnast|strength=6|hoch|0.0900->0.1050
abweichung|gymnast|strength=6|runter|0.0900->0.1050
abweichung|gymnast|strength=7|sicherheit|3.0000->4.0000
abweichung|gymnast|strength=7|hoch|0.1050->0.1150
abweichung|gymnast|strength=7|runter|0.1050->0.1150
abweichung|gymnast|strength=8|hoch|0.1150->0.1250
abweichung|gymnast|strength=8|runter|0.1150->0.1250
abweichung|gymnast|strength=9|hoch|0.1250->0.1400
abweichung|gymnast|strength=9|runter|0.1250->0.1400
abweichung|gymnast|nimble=0|sicherheit|0.0000->2.0000
abweichung|gymnast|nimble=0|hoch|0.0200->0.0250
abweichung|gymnast|nimble=0|runter|0.0200->0.0250
abweichung|gymnast|nimble=1|sicherheit|1.0000->2.0000
abweichung|gymnast|nimble=1|hoch|0.0200->0.0250
abweichung|gymnast|nimble=1|runter|0.0200->0.0250
abweichung|gymnast|nimble=2|hoch|0.0200->0.0250
abweichung|gymnast|nimble=2|runter|0.0200->0.0250
abweichung|gymnast|nimble=3|sicherheit|2.0000->3.0000
abweichung|gymnast|nimble=3|hoch|0.0200->0.0250
abweichung|gymnast|nimble=3|runter|0.0200->0.0250
abweichung|gymnast|nimble=4|sicherheit|2.0000->3.0000
abweichung|gymnast|nimble=4|hoch|0.0200->0.0250
abweichung|gymnast|nimble=4|runter|0.0200->0.0250
abweichung|gymnast|nimble=5|hoch|0.0200->0.0250
abweichung|gymnast|nimble=5|runter|0.0200->0.0250
abweichung|gymnast|nimble=6|sicherheit|3.0000->4.0000
abweichung|gymnast|nimble=6|hoch|0.0200->0.0250
abweichung|gymnast|nimble=6|runter|0.0200->0.0250
abweichung|gymnast|nimble=7|sicherheit|3.0000->4.0000
abweichung|gymnast|nimble=7|hoch|0.0200->0.0250
abweichung|gymnast|nimble=7|runter|0.0200->0.0250
abweichung|gymnast|nimble=8|hoch|0.0200->0.0250
abweichung|gymnast|nimble=8|runter|0.0200->0.0250
abweichung|gymnast|nimble=9|hoch|0.0200->0.0250
abweichung|gymnast|nimble=9|runter|0.0200->0.0250
abweichung|gymnast|nimble=10|hoch|0.0200->0.0250
abweichung|gymnast|nimble=10|runter|0.0200->0.0250
abweichung|burglar|fitness=0|sicherheit|0.0000->2.0000
abweichung|burglar|fitness=0|hoch|0.0200->0.0250
abweichung|burglar|fitness=0|runter|0.0200->0.0250
abweichung|burglar|fitness=1|sicherheit|1.0000->2.0000
abweichung|burglar|fitness=1|hoch|0.0250->0.0300
abweichung|burglar|fitness=1|runter|0.0250->0.0300
abweichung|burglar|fitness=2|hoch|0.0300->0.0350
abweichung|burglar|fitness=2|runter|0.0300->0.0350
abweichung|burglar|fitness=3|sicherheit|2.0000->3.0000
abweichung|burglar|fitness=3|hoch|0.0350->0.0800
abweichung|burglar|fitness=3|runter|0.0350->0.0800
abweichung|burglar|fitness=4|sicherheit|2.0000->3.0000
abweichung|burglar|fitness=5|hoch|0.0800->0.0900
abweichung|burglar|fitness=5|runter|0.0800->0.0900
abweichung|burglar|fitness=6|sicherheit|3.0000->4.0000
abweichung|burglar|fitness=6|hoch|0.0900->0.1050
abweichung|burglar|fitness=6|runter|0.0900->0.1050
abweichung|burglar|fitness=7|sicherheit|3.0000->4.0000
abweichung|burglar|fitness=7|hoch|0.1050->0.1150
abweichung|burglar|fitness=7|runter|0.1050->0.1150
abweichung|burglar|fitness=8|hoch|0.1150->0.1250
abweichung|burglar|fitness=8|runter|0.1150->0.1250
abweichung|burglar|fitness=9|hoch|0.1250->0.1400
abweichung|burglar|fitness=9|runter|0.1250->0.1400
abweichung|burglar|strength=0|sicherheit|0.0000->2.0000
abweichung|burglar|strength=0|hoch|0.0200->0.0250
abweichung|burglar|strength=0|runter|0.0200->0.0250
abweichung|burglar|strength=1|sicherheit|1.0000->2.0000
abweichung|burglar|strength=1|hoch|0.0250->0.0300
abweichung|burglar|strength=1|runter|0.0250->0.0300
abweichung|burglar|strength=2|hoch|0.0300->0.0350
abweichung|burglar|strength=2|runter|0.0300->0.0350
abweichung|burglar|strength=3|sicherheit|2.0000->3.0000
abweichung|burglar|strength=3|hoch|0.0350->0.0800
abweichung|burglar|strength=3|runter|0.0350->0.0800
abweichung|burglar|strength=4|sicherheit|2.0000->3.0000
abweichung|burglar|strength=5|hoch|0.0800->0.0900
abweichung|burglar|strength=5|runter|0.0800->0.0900
abweichung|burglar|strength=6|sicherheit|3.0000->4.0000
abweichung|burglar|strength=6|hoch|0.0900->0.1050
abweichung|burglar|strength=6|runter|0.0900->0.1050
abweichung|burglar|strength=7|sicherheit|3.0000->4.0000
abweichung|burglar|strength=7|hoch|0.1050->0.1150
abweichung|burglar|strength=7|runter|0.1050->0.1150
abweichung|burglar|strength=8|hoch|0.1150->0.1250
abweichung|burglar|strength=8|runter|0.1150->0.1250
abweichung|burglar|strength=9|hoch|0.1250->0.1400
abweichung|burglar|strength=9|runter|0.1250->0.1400
abweichung|burglar|nimble=0|sicherheit|0.0000->2.0000
abweichung|burglar|nimble=0|hoch|0.0200->0.0250
abweichung|burglar|nimble=0|runter|0.0200->0.0250
abweichung|burglar|nimble=1|sicherheit|1.0000->2.0000
abweichung|burglar|nimble=1|hoch|0.0200->0.0250
abweichung|burglar|nimble=1|runter|0.0200->0.0250
abweichung|burglar|nimble=2|hoch|0.0200->0.0250
abweichung|burglar|nimble=2|runter|0.0200->0.0250
abweichung|burglar|nimble=3|sicherheit|2.0000->3.0000
abweichung|burglar|nimble=3|hoch|0.0200->0.0250
abweichung|burglar|nimble=3|runter|0.0200->0.0250
abweichung|burglar|nimble=4|sicherheit|2.0000->3.0000
abweichung|burglar|nimble=4|hoch|0.0200->0.0250
abweichung|burglar|nimble=4|runter|0.0200->0.0250
abweichung|burglar|nimble=5|hoch|0.0200->0.0250
abweichung|burglar|nimble=5|runter|0.0200->0.0250
abweichung|burglar|nimble=6|sicherheit|3.0000->4.0000
abweichung|burglar|nimble=6|hoch|0.0200->0.0250
abweichung|burglar|nimble=6|runter|0.0200->0.0250
abweichung|burglar|nimble=7|sicherheit|3.0000->4.0000
abweichung|burglar|nimble=7|hoch|0.0200->0.0250
abweichung|burglar|nimble=7|runter|0.0200->0.0250
abweichung|burglar|nimble=8|hoch|0.0200->0.0250
abweichung|burglar|nimble=8|runter|0.0200->0.0250
abweichung|burglar|nimble=9|hoch|0.0200->0.0250
abweichung|burglar|nimble=9|runter|0.0200->0.0250
abweichung|burglar|nimble=10|hoch|0.0200->0.0250
abweichung|burglar|nimble=10|runter|0.0200->0.0250
abweichung|clumsy+dextrous|fitness=0|sicherheit|0.0000->2.0000
abweichung|clumsy+dextrous|fitness=0|hoch|0.0200->0.0250
abweichung|clumsy+dextrous|fitness=0|runter|0.0200->0.0250
abweichung|clumsy+dextrous|fitness=1|sicherheit|1.0000->2.0000
abweichung|clumsy+dextrous|fitness=1|hoch|0.0250->0.0300
abweichung|clumsy+dextrous|fitness=1|runter|0.0250->0.0300
abweichung|clumsy+dextrous|fitness=2|hoch|0.0300->0.0350
abweichung|clumsy+dextrous|fitness=2|runter|0.0300->0.0350
abweichung|clumsy+dextrous|fitness=3|hoch|0.0350->0.0800
abweichung|clumsy+dextrous|fitness=3|runter|0.0350->0.0800
abweichung|clumsy+dextrous|fitness=5|hoch|0.0800->0.0900
abweichung|clumsy+dextrous|fitness=5|runter|0.0800->0.0900
abweichung|clumsy+dextrous|fitness=6|hoch|0.0900->0.1050
abweichung|clumsy+dextrous|fitness=6|runter|0.0900->0.1050
abweichung|clumsy+dextrous|fitness=7|hoch|0.1050->0.1150
abweichung|clumsy+dextrous|fitness=7|runter|0.1050->0.1150
abweichung|clumsy+dextrous|fitness=8|sicherheit|4.0000->3.0000
abweichung|clumsy+dextrous|fitness=8|hoch|0.1150->0.1250
abweichung|clumsy+dextrous|fitness=8|runter|0.1150->0.1250
abweichung|clumsy+dextrous|fitness=9|sicherheit|4.0000->3.0000
abweichung|clumsy+dextrous|fitness=9|hoch|0.1250->0.1400
abweichung|clumsy+dextrous|fitness=9|runter|0.1250->0.1400
abweichung|clumsy+dextrous|fitness=10|sicherheit|4.0000->3.0000
abweichung|clumsy+dextrous|strength=0|sicherheit|0.0000->2.0000
abweichung|clumsy+dextrous|strength=0|hoch|0.0200->0.0250
abweichung|clumsy+dextrous|strength=0|runter|0.0200->0.0250
abweichung|clumsy+dextrous|strength=1|sicherheit|1.0000->2.0000
abweichung|clumsy+dextrous|strength=1|hoch|0.0250->0.0300
abweichung|clumsy+dextrous|strength=1|runter|0.0250->0.0300
abweichung|clumsy+dextrous|strength=2|hoch|0.0300->0.0350
abweichung|clumsy+dextrous|strength=2|runter|0.0300->0.0350
abweichung|clumsy+dextrous|strength=3|hoch|0.0350->0.0800
abweichung|clumsy+dextrous|strength=3|runter|0.0350->0.0800
abweichung|clumsy+dextrous|strength=5|hoch|0.0800->0.0900
abweichung|clumsy+dextrous|strength=5|runter|0.0800->0.0900
abweichung|clumsy+dextrous|strength=6|hoch|0.0900->0.1050
abweichung|clumsy+dextrous|strength=6|runter|0.0900->0.1050
abweichung|clumsy+dextrous|strength=7|hoch|0.1050->0.1150
abweichung|clumsy+dextrous|strength=7|runter|0.1050->0.1150
abweichung|clumsy+dextrous|strength=8|sicherheit|4.0000->3.0000
abweichung|clumsy+dextrous|strength=8|hoch|0.1150->0.1250
abweichung|clumsy+dextrous|strength=8|runter|0.1150->0.1250
abweichung|clumsy+dextrous|strength=9|sicherheit|4.0000->3.0000
abweichung|clumsy+dextrous|strength=9|hoch|0.1250->0.1400
